"","Unique Sample Identifier","Sampling Location","Matrix","Sediment type","Depth Sample (m)","Sampling Location specific","Mean slope","Depth river","Active overflow","Nearby vegetation","NaturalBank","width","meandering","Outside_insideBend","shortest distance from shore","radius (degree)","radius (km)","area (km²)","RWZI [nr]","Waste facilities [nr]","agriculture [km²]","industry  [km²]","transport  [km²]","urban  [km²]","water  [km²]","nature  [km²]","recreation  [km²]","waste  [km²]","human foot print","ecotope","pixels at flood risk","km² at flood risk","% buffer at flood risk","total flooding depth in buffer","average flooding depth in buffer","pop20","pop22","pop21","Pop_AVG","pop_dens","tot_precip","mean_temp","mean_windspeed","mean_winddirection","mean_pressure","mean_cloudiness","tot_precip_mean","mean_temp_mean","mean_windspeed_mean","mean_winddirection_mean","mean_pressure_mean","mean_cloudiness_mean","tot_precip_TOT"
"11","MIC_W_090","Port of Oostende (B)","Water","NA",1,"Ostend (B)",0.350893299484996,NA,0,"No","No",42.056,"No",NA,88.881,0.025,2.18509686118416,15,0,0,0.065,3.067,0.385,5.525,5.48,0.068,0.418,0,28.6181818181818,"Antropogeen",1,0.01278,0.000337403115151392,0.100000001490116,0.100000001490116,NA,NA,NA,NA,18379,0,13.5318181818182,1.81818181818181,170.47619047619,1022.00909090909,2.81818181818182,0,12.011994949495,2.70328282828283,165.376121463078,1026.62108585858,2.14772727272727,0
"12","MIC_W_091","Port of Oostende (B)","Water","NA",1,"Ostend (B)",0.350893299484996,NA,0,"No","No",42.056,"No",NA,88.881,0.025,2.18509686118416,15,0,0,0.065,3.067,0.385,5.525,5.48,0.068,0.418,0,28.6181818181818,"Antropogeen",1,0.01278,0.000337403115151392,0.100000001490116,0.100000001490116,NA,NA,NA,NA,18379,0,13.5318181818182,1.81818181818181,170.47619047619,1022.00909090909,2.81818181818182,0,12.011994949495,2.70328282828283,165.376121463078,1026.62108585858,2.14772727272727,0
"13","MIC_W_092","Port of Oostende (B)","Water","NA",1,"Ostend (B)",0.350893299484996,NA,0,"No","No",42.056,"No",NA,88.881,0.025,2.18509686118416,15,0,0,0.065,3.067,0.385,5.525,5.48,0.068,0.418,0,28.6181818181818,"Antropogeen",1,0.01278,0.000337403115151392,0.100000001490116,0.100000001490116,NA,NA,NA,NA,18379,0,13.5318181818182,1.81818181818181,170.47619047619,1022.00909090909,2.81818181818182,0,12.011994949495,2.70328282828283,165.376121463078,1026.62108585858,2.14772727272727,0
"14","MIC_W_093","Port of Oostende (B)","Water","NA",1,"Ostend (B)",0.350893299484996,NA,0,"No","No",42.056,"No",NA,88.881,0.025,2.18509686118416,15,0,0,0.065,3.067,0.385,5.525,5.48,0.068,0.418,0,28.6181818181818,"Antropogeen",1,0.01278,0.000337403115151392,0.100000001490116,0.100000001490116,NA,NA,NA,NA,18379,0,13.5318181818182,1.81818181818181,170.47619047619,1022.00909090909,2.81818181818182,0,12.011994949495,2.70328282828283,165.376121463078,1026.62108585858,2.14772727272727,0
"15","MIC_W_094","Port of Oostende (B)","Water","NA",1,"Ostend (B)",0.350893299484996,NA,0,"No","No",42.056,"No",NA,88.881,0.025,2.18509686118416,15,0,0,0.065,3.067,0.385,5.525,5.48,0.068,0.418,0,28.6181818181818,"Antropogeen",1,0.01278,0.000337403115151392,0.100000001490116,0.100000001490116,NA,NA,NA,NA,18379,0,13.5318181818182,1.81818181818181,170.47619047619,1022.00909090909,2.81818181818182,0,12.011994949495,2.70328282828283,165.376121463078,1026.62108585858,2.14772727272727,0
"16","MIC_W_095","Port of Oostende (B)","Water","NA",1,"Ostend (B)",0.350893299484996,NA,0,"No","No",42.056,"No",NA,88.881,0.025,2.18509686118416,15,0,0,0.065,3.067,0.385,5.525,5.48,0.068,0.418,0,28.6181818181818,"Antropogeen",1,0.01278,0.000337403115151392,0.100000001490116,0.100000001490116,NA,NA,NA,NA,18379,0,13.5318181818182,1.81818181818181,170.47619047619,1022.00909090909,2.81818181818182,0,12.011994949495,2.70328282828283,165.376121463078,1026.62108585858,2.14772727272727,0
"17","MAC_W_095","Port of Oostende (B)","Water","NA",1,"Ostend (B)",0.350893299484996,NA,0,"No","No",42.056,"No",NA,88.881,0.025,2.18509686118416,15,0,0,0.065,3.067,0.385,5.525,5.48,0.068,0.418,0,28.6181818181818,"Antropogeen",1,0.01278,0.000337403115151392,0.100000001490116,0.100000001490116,NA,NA,NA,NA,18379,0,13.5318181818182,1.81818181818181,170.47619047619,1022.00909090909,2.81818181818182,0,12.011994949495,2.70328282828283,165.376121463078,1026.62108585858,2.14772727272727,0
"18","MAC_W_096","Port of Oostende (B)","Water","NA",1,"Ostend (B)",0.350893299484996,NA,0,"No","No",42.056,"No",NA,88.881,0.025,2.18509686118416,15,0,0,0.065,3.067,0.385,5.525,5.48,0.068,0.418,0,28.6181818181818,"Antropogeen",1,0.01278,0.000337403115151392,0.100000001490116,0.100000001490116,NA,NA,NA,NA,18379,0,13.5318181818182,1.81818181818181,170.47619047619,1022.00909090909,2.81818181818182,0,12.011994949495,2.70328282828283,165.376121463078,1026.62108585858,2.14772727272727,0
"19","MAC_W_097","Port of Oostende (B)","Water","NA",1,"Ostend (B)",0.350893299484996,NA,0,"No","No",42.056,"No",NA,88.881,0.025,2.18509686118416,15,0,0,0.065,3.067,0.385,5.525,5.48,0.068,0.418,0,28.6181818181818,"Antropogeen",1,0.01278,0.000337403115151392,0.100000001490116,0.100000001490116,NA,NA,NA,NA,18379,0,13.5318181818182,1.81818181818181,170.47619047619,1022.00909090909,2.81818181818182,0,12.011994949495,2.70328282828283,165.376121463078,1026.62108585858,2.14772727272727,0
"20","MAC_W_098","Port of Oostende (B)","Water","NA",1,"Ostend (B)",0.350893299484996,NA,0,"No","No",42.056,"No",NA,88.881,0.025,2.18509686118416,15,0,0,0.065,3.067,0.385,5.525,5.48,0.068,0.418,0,28.6181818181818,"Antropogeen",1,0.01278,0.000337403115151392,0.100000001490116,0.100000001490116,NA,NA,NA,NA,18379,0,13.5318181818182,1.81818181818181,170.47619047619,1022.00909090909,2.81818181818182,0,12.011994949495,2.70328282828283,165.376121463078,1026.62108585858,2.14772727272727,0
