"","X","...1","Unique.Sample.Identifier","Sampling.Location","Matrix","Sediment.type","Depth.Sample..m.","Sampling.Location.specific","Mean.slope","Depth.river","Active.overflow","Nearby.vegetation","NaturalBank","width","meandering","Outside_insideBend","shortest.distance.from.shore","radius..degree.","radius..km.","area..km..","RWZI..nr.","Waste.facilities..nr.","agriculture..km..","industry...km..","transport...km..","urban...km..","water...km..","nature...km..","recreation...km..","waste...km..","human.foot.print","ecotope","pixels.at.flood.risk","km..at.flood.risk","X..buffer.at.flood.risk","total.flooding.depth.in.buffer","average.flooding.depth.in.buffer","pop20","pop22","pop21","Pop_AVG","pop_dens","tot_precip","mean_temp","mean_windspeed","mean_winddirection","mean_pressure","mean_cloudiness","tot_precip_mean","mean_temp_mean","mean_windspeed_mean","mean_winddirection_mean","mean_pressure_mean","mean_cloudiness_mean","tot_precip_TOT","Proximity_sea","Port_river","Natural_NonNatural","TotalPointDischarge","PointDischarge","PopulationDensity","HFP","Date","Season"
"22",22,153,"MAC_S_023","North Sea Port (Ringvaart)","Sediment","Sludge",3,"Ringvaart",0.194950200522831,147,3,"No","No",177.861,"No",NA,10,0.025,2.18509686118416,15,1,0,1.633,6.361,0.301,4.427,2.326,0,0,0,31.4889064976228,"Antropogeen",257,3.28446,0.0867126005939077,285.37400008738,1.1104046696007,NA,NA,NA,NA,19830,14.2,11.5875,4.76183333333333,250.783333333332,1004.9375,NA,6.83333333333333,11.05,3.76404166666666,218.796437198067,1003.28333333333,NA,20.5,"Inland","Port","Low natural",4,"Moderate","Moderate","Moderate","2021-05-17","Spring"
"23",23,154,"MAC_S_024","North Sea Port (Sifferdok)","Sediment","Sludge",13,"Sifferdok",0.200796813704073,970,0,"No","No",334.245,"No",NA,47.474,0.025,2.18509686118416,15,0,1,0.979,5.725,0.307,5.751,2.292,0,0,0,36.553125,"Antropogeen",107,1.36746,0.0361021333211989,164.126999765635,1.53389719407135,NA,NA,NA,NA,25123,14.2,11.5875,4.76183333333333,250.783333333332,1004.9375,NA,6.83333333333333,11.05,3.76404166666666,218.796437198067,1003.28333333333,NA,20.5,"Inland","Port","Low natural",1,"Low","Moderate","Moderate","2021-05-17","Spring"
"24",24,155,"MAC_S_025","Port of Oostende (A)","Sediment","Sludge+sand",3,"Ostend (A)",0.37946545682972,NA,0,"No","No",18.64,"No",NA,502.047,0.025,2.18509686118416,15,0,0,0,2.009,0.208,3.826,8.503,0.004,0.457,0,38.55,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,12185,3.9,11.1583333333332,6,209.583333333333,1023.27083333333,7.25,7.3,10.9444444444443,7.06944444444444,214.305555555555,1012.90555555555,6.36111111111111,21.9,"Coastal","Port","Moderate natural",0,"Low","Moderate","Moderate","2020-11-17","Autumn"
"25",25,156,"MAC_S_026","Port of Oostende (B)","Sediment","Sludge",11,"Ostend (B)",0.350893299484996,NA,0,"No","No",42.056,"No",NA,88.881,0.025,2.18509686118416,15,0,0,0.065,3.067,0.385,5.525,5.48,0.068,0.418,0,28.6181818181818,"Antropogeen",1,0.01278,0.00033740311515139,0.100000001490116,0.100000001490116,NA,NA,NA,NA,18355,3.9,11.1583333333332,6,209.583333333333,1023.27083333333,7.25,7.3,10.9444444444443,7.06944444444444,214.305555555555,1012.90555555555,6.36111111111111,21.9,"Coastal","Port","Moderate natural",0,"Low","Moderate","Moderate","2020-11-17","Autumn"
"26",26,157,"MAC_S_027","Port of Oostende (C)","Sediment","Sludge",6,"Ostend (C)",0.313189285616458,NA,1,"No","No",12.742,"No",NA,116.333,0.025,2.18509686118416,15,1,0,0.869,4.401,0.523,5.76,2.969,0.069,0.418,0,34.3773734177215,"Antropogeen",1,0.01278,0.00033740311515139,0.100000001490116,0.100000001490116,NA,NA,NA,NA,23412,3.9,11.1583333333332,6,209.583333333333,1023.27083333333,7.25,7.3,10.9444444444443,7.06944444444444,214.305555555555,1012.90555555555,6.36111111111111,21.9,"Coastal","Port","Low natural",2,"Moderate","Moderate","Moderate","2020-11-17","Autumn"
"27",27,158,"MAC_S_028","North Sea Port (Mercatordok)","Sediment","Sludge",10,"Mercatordok",0.182634954197605,609,1,"No","No",230,"No",NA,10,0.025,2.18509686118416,15,0,0,2.55,6.847,0,3.855,1.775,0.019,0,0,34.7619047619048,"Antropogeen",176,2.24928,0.059382948266645,317.08699914813,1.80163067697801,NA,NA,NA,NA,21425,12.1,12.3409090909091,3.35536363636364,267.131818181818,1013.7,NA,9.23333333333333,11.7372474747474,3.91816287878788,242.49255050505,1006.63194444444,NA,27.7,"Inland","Port","Low natural",1,"Low","Moderate","Moderate","2021-05-18","Spring"
"28",28,159,"MAC_S_029","North Sea Port (Insteekdok Zelzate)","Sediment","Sand",6,"Insteekdok",0.167465243092528,236,2,"Yes","No",74.034,"No",NA,10,0.025,2.18509686118416,15,1,0,1.948,5.479,0,4.55,1.306,1.736,0,0,39.5789473684211,"Antropogeen",77,0.98406,0.0259800398666572,117.4650003016,1.52551948443636,NA,NA,NA,NA,16934,0.05,12.5,4.09999999999999,268,1013.6,NA,5.15,11.7666666666667,4.36666666666666,245.333333333333,1006.26666666667,NA,15.45,"Inland","Port","Moderate natural",3,"Moderate","Moderate","Moderate","2021-05-18","Spring"
"29",29,160,"MAC_S_030","North Sea Port (Kluizendok)","Sediment","Sludge",5,"Kluizendok",0.204210430989968,934,0,"No","No",211.259,"No",NA,10,0.025,2.18509686118416,15,0,0,2.472,6.532,0.266,0.957,2.51,2.208,0.085,0,28.0526315789474,"Antropogeen",102,1.30356,0.034415117745442,213.639999806881,2.09450980202825,NA,NA,NA,NA,20726,0.05,12.5,4.09999999999999,268,1013.6,NA,5.15,11.7666666666667,4.36666666666666,245.333333333333,1006.26666666667,NA,15.45,"Inland","Port","Moderate natural",0,"Low","Moderate","Moderate","2021-05-18","Spring"
"30",30,161,"MAC_S_031","Port of Nieuwpoort (A)","Sediment","Sludge+sand",3,"Nieuwpoort (A)",0.59815727776823,NA,2,"No","No",109.485,"No",NA,25.323,0.025,2.18509686118416,15,0,0,1.068,0.408,0,2.138,9.052,1.397,0.971,0,59.6842105263158,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,2278,0,11.6,6,192.916666666667,1019.65,4.25,2.63333333333333,10.9458333333333,6.41666666666667,214.027777777778,1018.88472222222,5.83333333333333,7.9,"Coastal","Port","Highly Natural",2,"Moderate","Low","High","2020-11-18","Autumn"
"31",31,162,"MAC_S_032","Port of Nieuwpoort (B)","Sediment","Sludge",4,"Nieuwpoort (B)",0.415132728478322,NA,0,"No","No",13.162,"No",NA,61.83,0.025,2.18509686118416,15,0,0,3.941,1.458,0,4.374,2.709,1.141,1.413,0,47.25,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,4439,0,11.6,6,192.916666666667,1019.65,4.25,2.63333333333333,10.9458333333333,6.41666666666667,214.027777777778,1018.88472222222,5.83333333333333,7.9,"Coastal","Port","Low natural",0,"Low","Low","High","2020-11-18","Autumn"
