"","X","...1","Unique.Sample.Identifier","Sampling.Location","Matrix","Sediment.type","Depth.Sample..m.","Sampling.Location.specific","Mean.slope","Depth.river","Active.overflow","Nearby.vegetation","NaturalBank","width","meandering","Outside_insideBend","shortest.distance.from.shore","radius..degree.","radius..km.","area..km..","RWZI..nr.","Waste.facilities..nr.","agriculture..km..","industry...km..","transport...km..","urban...km..","water...km..","nature...km..","recreation...km..","waste...km..","human.foot.print","ecotope","pixels.at.flood.risk","km..at.flood.risk","X..buffer.at.flood.risk","total.flooding.depth.in.buffer","average.flooding.depth.in.buffer","pop20","pop22","pop21","Pop_AVG","pop_dens","tot_precip","mean_temp","mean_windspeed","mean_winddirection","mean_pressure","mean_cloudiness","tot_precip_mean","mean_temp_mean","mean_windspeed_mean","mean_winddirection_mean","mean_pressure_mean","mean_cloudiness_mean","tot_precip_TOT","Proximity_sea","Port_river","Natural_NonNatural","TotalPointDischarge","PointDischarge","PopulationDensity","HFP","Date","Season"
"42",42,173,"MAC_S_044","Port of Oostende (B)","Sediment","Sludge",10.5,"Ostend (B)",0.350893299484996,NA,0,"No","No",42.056,"No",NA,88.881,0.025,2.18509686118416,15,0,0,0.065,3.067,0.385,5.525,5.48,0.068,0.418,0,28.6181818181818,"Antropogeen",1,0.01278,0.00033740311515139,0.100000001490116,0.100000001490116,NA,NA,NA,NA,18355,32.1,12.3727272727273,6.31818181818182,209.545454545454,999.595454545455,4.68181818181817,14.0333333333333,13.9089646464647,4.31439393939394,215.58519982433,1004.5095959596,4.3800505050505,42.1,"Coastal","Port","Moderate natural",0,"Low","Moderate","Moderate","2020-09-24","Autumn"
"43",43,174,"MAC_S_045","Port of Oostende (C)","Sediment","Sludge",6,"Ostend (C)",0.313189285616458,NA,1,"No","No",12.742,"No",NA,116.333,0.025,2.18509686118416,15,1,0,0.869,4.401,0.523,5.76,2.969,0.069,0.418,0,34.3773734177215,"Antropogeen",1,0.01278,0.00033740311515139,0.100000001490116,0.100000001490116,NA,NA,NA,NA,23412,32.1,12.3727272727273,6.31818181818182,209.545454545454,999.595454545455,4.68181818181817,14.0333333333333,13.9089646464647,4.31439393939394,215.58519982433,1004.5095959596,4.3800505050505,42.1,"Coastal","Port","Low natural",2,"Moderate","Moderate","Moderate","2020-09-24","Autumn"
"44",44,175,"MAC_S_047","River Scheldt (Doel)","Sediment","Sludge+sand",12,"Doel",0.0374158921544889,843,0,"Yes","Yes",1245.45,"Yes","Middle",431.8,0.025,2.18509686118416,15,0,0,1.265,4.679,0.765,0.513,6.426,1.332,0,0,30.9240506329114,"Diep Subtidaal",146,1.86588,0.0492608548121032,228.88799649477,1.56772600338884,NA,NA,NA,NA,24178,1.3,4.42608695652173,5.15517391304348,206.752173913043,1012.76086956522,NA,1.23333333333333,4.00036231884057,4.91397463768116,225.820169082125,1012.06612318841,NA,3.7,"Inland","River","Highly Natural",0,"Low","Moderate","Moderate","2021-01-27","Winter"
"45",45,176,"MAC_S_048","River Scheldt (Antwerpen)","Sediment","Sand",6,"Antwerp",0.470055991739951,578,4,"No","No",440.237,"Yes","Middle",177.35,0.025,2.18509686118416,15,1,4,0,2.523,1.66,6.144,2.503,2.185,0.001,0,20.9269841269841,"Diep Subtidaal",111,1.41858,0.0374517457818045,381.646991938353,3.43826118863381,NA,NA,NA,NA,38844,0,4.02173913043477,4.34782608695651,215.217391304348,1012.52608695652,8,0,3.73502415458936,4.14371980676328,215.905797101449,1011.81147342995,6.86111111111111,0,"Inland","River","Moderate natural",9,"High","High","Moderate","2021-01-27","Winter"
"46",46,177,"MAC_S_049","Port of Oostende (A)","Sediment","Sludge",4,"Ostend (A)",0.37946545682972,NA,0,"No","No",18.64,"No",NA,502.047,0.025,2.18509686118416,15,0,0,0,2.009,0.208,3.826,8.503,0.004,0.457,0,38.55,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,12204,0,8.29583333333333,4.66666666666666,72.5,1010.37083333333,3.54166666666667,0,7.52916666666667,6.12499999999999,55,1019.46944444444,3,0,"Coastal","Port","Moderate natural",0,"Low","Moderate","Moderate","2021-04-27","Spring"
"47",47,178,"MAC_S_050","Port of Oostende (B)","Sediment","Sludge",6,"Ostend (B)",0.350893299484996,NA,0,"No","No",42.056,"No",NA,88.881,0.025,2.18509686118416,15,0,0,0.065,3.067,0.385,5.525,5.48,0.068,0.418,0,28.6181818181818,"Antropogeen",1,0.01278,0.00033740311515139,0.100000001490116,0.100000001490116,NA,NA,NA,NA,18379,0,8.29583333333333,4.66666666666666,72.5,1010.37083333333,3.54166666666667,0,7.52916666666667,6.12499999999999,55,1019.46944444444,3,0,"Coastal","Port","Moderate natural",0,"Low","Moderate","Moderate","2021-04-27","Spring"
"48",48,179,"MAC_S_051","Port of Oostende (C)","Sediment","Sludge",6,"Ostend (C)",0.313189285616458,NA,1,"No","No",12.742,"No",NA,116.333,0.025,2.18509686118416,15,1,0,0.869,4.401,0.523,5.76,2.969,0.069,0.418,0,34.3773734177215,"Antropogeen",1,0.01278,0.00033740311515139,0.100000001490116,0.100000001490116,NA,NA,NA,NA,23441,0,8.29583333333333,4.66666666666666,72.5,1010.37083333333,3.54166666666667,0,7.52916666666667,6.12499999999999,55,1019.46944444444,3,0,"Coastal","Port","Low natural",2,"Moderate","Moderate","Moderate","2021-04-27","Spring"
"49",49,180,"MAC_S_052","Port of Nieuwpoort (A)","Sediment","Sand",9,"Nieuwpoort (A)",0.59815727776823,NA,2,"No","No",109.485,"No",NA,25.323,0.025,2.18509686118416,15,0,0,1.068,0.408,0,2.138,9.052,1.397,0.971,0,59.6842105263158,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,2282,0,8.65909090909091,5.77272727272726,61.8181818181817,1004.83636363636,6.13636363636364,0,8.03080808080808,5.74368686868686,58.9393939393939,1011.87462121212,4.12878787878788,0,"Coastal","Port","Highly Natural",2,"Moderate","Low","High","2021-04-28","Spring"
"50",50,181,"MAC_S_053","Port of Nieuwpoort (B)","Sediment","Sludge+sand",6,"Nieuwpoort (B)",0.415132728478322,NA,0,"No","No",13.162,"No",NA,61.83,0.025,2.18509686118416,15,0,0,3.941,1.458,0,4.374,2.709,1.141,1.413,0,47.25,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,4448,0,8.65909090909091,5.77272727272726,61.8181818181817,1004.83636363636,6.13636363636364,0,8.03080808080808,5.74368686868686,58.9393939393939,1011.87462121212,4.12878787878788,0,"Coastal","Port","Low natural",0,"Low","Low","High","2021-04-28","Spring"
"51",51,182,"MAC_S_054","Port of Nieuwpoort (C)","Sediment","Sludge",7,"Nieuwpoort (C)",0.324895425986018,NA,1,"No","No",20.61,"No",NA,96.6,0.025,2.18509686118416,15,0,1,5.45,1.543,0.223,3.562,1.066,0.443,1.374,0,41.8,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,4977,0,8.65909090909091,5.77272727272726,61.8181818181817,1004.83636363636,6.13636363636364,0,8.03080808080808,5.74368686868686,58.9393939393939,1011.87462121212,4.12878787878788,0,"Coastal","Port","Low natural",2,"Moderate","Low","High","2021-04-28","Spring"
"52",52,183,"MAC_S_055","Port of Nieuwpoort (A)","Sediment","Sand",10,"Nieuwpoort (A)",0.59815727776823,NA,2,"No","No",109.485,"No",NA,25.323,0.025,2.18509686118416,15,0,0,1.068,0.408,0,2.138,9.052,1.397,0.971,0,59.6842105263158,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,2282,3.7,16.8874999999999,1.91666666666667,192.272727272727,1014.3875,5.91666666666666,17.4,17.1972222222221,2.76388888888889,114.924242424242,1015.98194444444,6.34722222222222,52.2,"Coastal","Port","Highly Natural",2,"Moderate","Low","High","2021-06-28","Summer"
"53",53,184,"MAC_S_056","Port of Nieuwpoort (B)","Sediment","Sludge",7,"Nieuwpoort (B)",0.415132728478322,NA,0,"No","No",13.162,"No",NA,61.83,0.025,2.18509686118416,15,0,0,3.941,1.458,0,4.374,2.709,1.141,1.413,0,47.25,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,4448,3.7,16.8874999999999,1.91666666666667,192.272727272727,1014.3875,5.91666666666666,17.4,17.1972222222221,2.76388888888889,114.924242424242,1015.98194444444,6.34722222222222,52.2,"Coastal","Port","Low natural",0,"Low","Low","High","2021-06-28","Summer"
"54",54,185,"MAC_S_057","Port of Nieuwpoort (C)","Sediment","Sludge",5,"Nieuwpoort (C)",0.324895425986018,NA,1,"No","No",20.61,"No",NA,96.6,0.025,2.18509686118416,15,0,1,5.45,1.543,0.223,3.562,1.066,0.443,1.374,0,41.8,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,4977,3.7,16.8874999999999,1.91666666666667,192.272727272727,1014.3875,5.91666666666666,17.4,17.1972222222221,2.76388888888889,114.924242424242,1015.98194444444,6.34722222222222,52.2,"Coastal","Port","Low natural",2,"Moderate","Low","High","2021-06-28","Summer"
"55",55,186,"MAC_S_058","River Scheldt (Temse)","Sediment","Sand",5,"Temse",0.692196088302361,470,3,"Yes","Yes",138.086,"No",NA,32.053,0.025,2.18509686118416,15,3,0,7.248,0.19,0,4.425,1.478,1.705,0,0,50.8391167192429,"Matig Diep Subtidaal",440,5.6232,0.148457370666612,822.980994567275,1.87041135128926,NA,NA,NA,NA,9459,0,17.4583333333333,3.5,37.9166666666667,1027.3875,0.916666666666666,16.7333333333333,17.9041666666666,3.73611111111111,140,1022.67222222222,4.75,50.2,"Inland","River","Low natural",6,"High","Low","High","2021-08-24","Summer"
"56",56,187,"MAC_S_059","River Scheldt (Wintam)","Sediment","Sludge+sand",10,"Wintam",0.578952432274277,1182,4,"Yes","Yes",162.84,"Yes","Middle",62.325,0.025,2.18509686118416,15,0,2,4.883,0.85,0,3.525,2.832,2.956,0,0,37.4145569620253,"Diep Subtidaal",550,7.029,0.185571713333265,1098.52699995786,1.9973218181052,NA,NA,NA,NA,14233,0,17.0874999999999,3.04166666666667,155.217391304348,1023.19583333333,2.29166666666667,0.666666666666667,17.6541666666666,3.41666666666666,106.600241545894,1024.82083333333,3.22222222222222,2,"Inland","River","Moderate natural",6,"High","Moderate","Moderate","2021-08-25","Summer"
"57",57,188,"MAC_S_061","River Scheldt (Temse)","Sediment","Sand",5,"Temse",0.692196088302361,470,3,"Yes","Yes",138.086,"No",NA,32.053,0.025,2.18509686118416,15,3,0,7.248,0.19,0,4.425,1.478,1.705,0,0,50.8391167192429,"Matig Diep Subtidaal",440,5.6232,0.148457370666612,822.980994567275,1.87041135128926,NA,NA,NA,NA,9459,0,4.16249999999999,0.666666666666666,212.142857142857,1030.79166666666,7,3.06666666666666,5.48055555555555,1.91666666666667,209.785431959345,1024.25833333333,4.16538789428815,9.19999999999999,"Inland","River","Low natural",6,"High","Low","High","2021-11-23","Autumn"
"58",58,189,"MAC_S_062","River Scheldt (Wintam)","Sediment","Sand",10,"Wintam",0.578952432274277,1182,4,"Yes","Yes",162.84,"Yes","Middle",62.325,0.025,2.18509686118416,15,0,2,4.883,0.85,0,3.525,2.832,2.956,0,0,37.4145569620253,"Diep Subtidaal",550,7.029,0.185571713333265,1098.52699995786,1.9973218181052,NA,NA,NA,NA,14233,0,6.125,0.875,101.052631578947,1022.0625,7.94736842105263,0,5.02916666666666,1.36111111111111,143.034859876965,1026.58749999999,5.0608875128999,0,"Inland","River","Moderate natural",6,"High","Moderate","Moderate","2021-11-24","Autumn"
"59",59,190,"MAC_S_063","River Scheldt (Antwerpen)","Sediment","Sand",10,"Antwerp",0.470055991739951,578,4,"No","No",440.237,"Yes","Middle",177.35,0.025,2.18509686118416,15,1,4,0,2.523,1.66,6.144,2.503,2.185,0.001,0,20.9269841269841,"Diep Subtidaal",111,1.41858,0.0374517457818045,381.646991938353,3.43826118863381,NA,NA,NA,NA,38844,1.6,6.01304347826086,1.78260869565217,254,1012.4652173913,6.47826086956522,0.533333333333333,5.43351449275362,1.10809178743961,189.065162907268,1021.77312801932,7.14187643020595,1.6,"Inland","River","Moderate natural",9,"High","High","Moderate","2021-11-25","Autumn"
"60",60,191,"MAC_S_064","River Scheldt (Breskens)","Sediment","Sand",14,"Breskens",0.151664937486743,1550,0,"No","Yes",4560.276,"No",NA,1485.85,0.025,2.18509686118416,15,0,0,0.288,0.427,0,1.451,12.678,0,0.106,0,23.4075235109718,"Hoogdynamisch sublittoraal",0,0,0,0,NA,NA,NA,NA,NA,179,0.2,3.6,6,180,1032.2,7,0.15,4.1,5.76666666666667,204.333333333333,1018.66666666667,6.33333333333333,0.45,"Coastal","River","Highly Natural",0,"Low","Low","Moderate","2022-01-11","Winter"
"61",61,192,"MAC_S_065","River Scheldt (Terneuzen)","Sediment","Sand",27,"Terneuzen",0.193043486831849,2796,0,"No","Yes",5795.649,"Yes","Outside",629.126,0.025,2.18509686118416,15,0,0,0,1.951,0,3.842,9.18,0,0,0,49.3943217665615,"Hoogdynamisch sublittoraal",7,0.08946,0.00236182180605974,2.33400005847216,0.333428579781737,NA,NA,NA,NA,1156,0.2,2.7,3,184,1032.59999999999,NA,0.133333333333333,2.96666666666667,3.5,205,1019.06666666666,NA,0.4,"Inland","River","Highly Natural",0,"Low","Low","High","2022-01-11","Winter"
"62",62,265,"MIC_S_001","Port of Oostende (B)","Sediment","Sludge",9.2,"Ostend (B)",0.350893299484996,NA,0,"No","No",42.056,"No",NA,88.881,0.025,2.18509686118416,15,0,0,0.065,3.067,0.385,5.525,5.48,0.068,0.418,0,28.6181818181818,"Antropogeen",1,0.01278,0.00033740311515139,0.100000001490116,0.100000001490116,NA,NA,NA,NA,18355,0.5,15.3681818181818,4.77272727272726,312.727272727272,1015.73636363636,5.18181818181817,6.16666666666667,15.8685606060606,5.41035353535353,264.659090909091,1015.00517676767,6.6300505050505,18.5,"Coastal","Port","Moderate natural",0,"Low","Moderate","Moderate","2020-07-10","Summer"
"63",63,266,"MIC_S_002","Port of Nieuwpoort (B)","Sediment","Sludge",5,"Nieuwpoort (B)",0.415132728478322,NA,0,"No","No",13.162,"No",NA,61.83,0.025,2.18509686118416,15,0,0,3.941,1.458,0,4.374,2.709,1.141,1.413,0,47.25,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,18355,1.2,12.7681818181818,7.81818181818182,267.727272727272,1012.07727272727,6,5.33333333333333,12.9366161616161,7.82828282828283,240.770202020202,1002.37575757576,6.18055555555555,16,"Coastal","Port","Low natural",0,"Low","Moderate","High","2020-10-07","Autumn"
"64",64,267,"MIC_S_003","Port of Nieuwpoort (B)","Sediment","Sludge",5,"Nieuwpoort (B)",0.415132728478322,NA,0,"No","No",13.162,"No",NA,61.83,0.025,2.18509686118416,15,0,0,3.941,1.458,0,4.374,2.709,1.141,1.413,0,47.25,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,18355,2.6,6.59565217391303,9.34782608695651,232.608695652173,1004.99130434783,5.26086956521738,1.23333333333333,7.09160628019323,10.1020531400966,221.980676328502,1005.58737922706,5.90640096618357,3.7,"Coastal","Port","Low natural",0,"Low","Moderate","High","2021-03-12","Spring"
"65",65,268,"MIC_S_004","Port of Oostende (B)","Sediment","Sludge",6,"Ostend (B)",0.350893299484996,NA,0,"No","No",42.056,"No",NA,88.881,0.025,2.18509686118416,15,0,0,0.065,3.067,0.385,5.525,5.48,0.068,0.418,0,28.6181818181818,"Antropogeen",1,0.01278,0.00033740311515139,0.100000001490116,0.100000001490116,NA,NA,NA,NA,4439,4.4,3.18260869565217,5.78260869565217,181.739130434782,1022.36086956522,7.21739130434782,1.46666666666667,-0.629408212560387,6.35809178743961,145.857487922705,1029.9786231884,5.04468599033816,4.4,"Coastal","Port","Moderate natural",0,"Low","Low","Moderate","2021-02-15","Winter"
"66",66,269,"MIC_S_005","River Scheldt (Doel)","Sediment","Sludge",10,"Doel",0.0374158921544889,843,0,"Yes","Yes",1245.45,"Yes","Middle",431.8,0.025,2.18509686118416,15,0,0,1.265,4.679,0.765,0.513,6.426,1.332,0,0,30.9240506329114,"Diep Subtidaal",146,1.86588,0.0492608548121032,228.88799649477,1.56772600338884,NA,NA,NA,NA,4439,0,9.74090909090909,4.54545454545455,61.3636363636364,1021.99090909091,5.63636363636364,7.53333333333333,9.58078612209047,4.98193895476504,84.2166227492315,1017.30222332016,6.29726613965744,22.6,"Inland","River","Highly Natural",0,"Low","Low","Moderate","2020-10-15","Autumn"
"67",67,270,"MIC_S_006","Port of Nieuwpoort (B)","Sediment","Sludge",4,"Nieuwpoort (B)",0.415132728478322,NA,0,"No","No",13.162,"No",NA,61.83,0.025,2.18509686118416,15,0,0,3.941,1.458,0,4.374,2.709,1.141,1.413,0,47.25,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,4439,0,13.5041666666667,1.875,233.043478260869,1011,1.83333333333332,0.433333333333333,15.1583333333334,3,158.426108915239,1015.10555555555,1.79166666666666,1.3,"Coastal","Port","Low natural",0,"Low","Low","High","2020-09-22","Autumn"
"68",68,271,"MIC_S_007","Port of Oostende (B)","Sediment","Sludge",9,"Ostend (B)",0.350893299484996,NA,0,"No","No",42.056,"No",NA,88.881,0.025,2.18509686118416,15,0,0,0.065,3.067,0.385,5.525,5.48,0.068,0.418,0,28.6181818181818,"Antropogeen",1,0.01278,0.00033740311515139,0.100000001490116,0.100000001490116,NA,NA,NA,NA,4448,32.1,12.3727272727273,6.31818181818182,209.545454545454,999.595454545455,4.68181818181817,14.0333333333333,13.9089646464647,4.31439393939394,215.58519982433,1004.5095959596,4.3800505050505,42.1,"Coastal","Port","Moderate natural",0,"Low","Low","Moderate","2020-09-24","Autumn"
"69",69,272,"MIC_S_008","River Scheldt (Wintam)","Sediment","Sand",8,"Wintam",0.578952432274277,1182,4,"Yes","Yes",162.84,"Yes","Middle",62.325,0.025,2.18509686118416,15,0,2,4.883,0.85,0,3.525,2.832,2.956,0,0,37.4145569620253,"Diep Subtidaal",550,7.029,0.185571713333265,1098.52699995786,1.9973218181052,NA,NA,NA,NA,4448,0,3.91666666666667,6.41666666666666,243.333333333333,1017.66666666667,5.45833333333333,2.96666666666667,3.11805555555556,6,218.333333333333,1007.25972222222,5.79166666666666,8.9,"Inland","River","Moderate natural",6,"High","Low","Moderate","2021-01-26","Winter"
"70",70,273,"MIC_S_009","River Scheldt (Antwerpen)","Sediment","Sand",6,"Antwerp",0.470055991739951,578,4,"No","No",440.237,"Yes","Middle",177.35,0.025,2.18509686118416,15,1,4,0,2.523,1.66,6.144,2.503,2.185,0.001,0,20.9269841269841,"Diep Subtidaal",111,1.41858,0.0374517457818045,381.646991938353,3.43826118863381,NA,NA,NA,NA,4448,8.1,4.74347826086957,4.56521739130435,224.782608695651,1012.12608695652,7.47826086956522,5.16666666666667,4.03115942028986,5.73007246376811,220.760869565217,1012.05730676329,6.02053140096618,15.5,"Inland","River","Moderate natural",9,"High","Low","Moderate","2021-01-27","Winter"
"71",71,274,"MIC_S_010","Port of Oostende (B)","Sediment","Sludge",6,"Ostend (B)",0.350893299484996,NA,0,"No","No",42.056,"No",NA,88.881,0.025,2.18509686118416,15,0,0,0.065,3.067,0.385,5.525,5.48,0.068,0.418,0,28.6181818181818,"Antropogeen",1,0.01278,0.00033740311515139,0.100000001490116,0.100000001490116,NA,NA,NA,NA,18379,0,8.29583333333333,4.66666666666666,72.5,1010.37083333333,3.54166666666667,0,7.52916666666667,6.12499999999999,55,1019.46944444444,3,0,"Coastal","Port","Moderate natural",0,"Low","Moderate","Moderate","2021-04-27","Spring"
"72",72,275,"MIC_S_011","Port of Nieuwpoort (B)","Sediment","Sludge+sand",6,"Nieuwpoort (B)",0.415132728478322,NA,0,"No","No",13.162,"No",NA,61.83,0.025,2.18509686118416,15,0,0,3.941,1.458,0,4.374,2.709,1.141,1.413,0,47.25,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,18379,0,8.65909090909091,5.77272727272726,61.8181818181817,1004.83636363636,6.13636363636364,0,8.03080808080808,5.74368686868686,58.9393939393939,1011.87462121212,4.12878787878788,0,"Coastal","Port","Low natural",0,"Low","Moderate","High","2021-04-28","Spring"
"73",73,276,"MIC_S_012","River Scheldt (Temse)","Sediment","Sand",5,"Temse",0.692196088302361,470,3,"Yes","Yes",138.086,"No",NA,32.053,0.025,2.18509686118416,15,3,0,7.248,0.19,0,4.425,1.478,1.705,0,0,50.8391167192429,"Matig Diep Subtidaal",440,5.6232,0.148457370666612,822.980994567275,1.87041135128926,NA,NA,NA,NA,18379,0,17.4416666666666,6.08333333333333,42.0833333333333,1028.23333333332,2.08333333333332,6.26666666666667,17.5222222222222,6.02777777777777,135.555555555556,1023.97361111111,4.6111111111111,18.8,"Inland","River","Low natural",6,"High","Moderate","High","2021-08-24","Summer"
"74",74,277,"MIC_S_017","Zeebrugge (700)","Sediment","Sludge",10,"Zeebrugge",0.475560449245903,NA,0,"No","No",2285.2,"No",NA,326.843,0.025,2.18509686118416,15,0,0,0.517756132,6.041504238,0,0.013385453,7.396712232,0.934019162,0,0.068388918,42.0526315789474,"Hoogdynamisch sublittoraal",0,0,0,0,NA,NA,NA,NA,NA,4439,4.59999999999999,10.1625,7.875,254.583333333333,1008.35,7.08333333333333,4.33333333333333,6.47222222222222,6.34722222222222,241.986714975845,1015.11944444445,5.79166666666667,13,"Coastal","Port","Highly Natural",0,"Low","Low","High","2022-04-05","Spring"
"75",75,278,"MIC_S_018","River Scheldt (Breskens)","Sediment","Sand",17,"Breskens",0.151664937486743,1550,0,"No","Yes",4560.276,"No",NA,1485.85,0.025,2.18509686118416,15,0,0,0.288,0.427,0,1.451,12.678,0,0.106,0,23.4075235109718,"Hoogdynamisch sublittoraal",0,0,0,0,NA,NA,NA,NA,NA,4439,4.59999999999999,10.1625,7.875,254.583333333333,1008.35,7.08333333333333,4.33333333333333,6.47222222222222,6.34722222222222,241.986714975845,1015.11944444445,5.79166666666667,13,"Coastal","River","Highly Natural",0,"Low","Low","Moderate","2022-04-05","Spring"
"76",76,279,"MIC_S_019","River Scheldt (Terneuzen)","Sediment","Sand",10,"Terneuzen",0.193043486831849,2796,0,"No","Yes",5795.649,"Yes","Outside",629.126,0.025,2.18509686118416,15,0,0,0,1.951,0,3.842,9.18,0,0,0,49.3943217665615,"Hoogdynamisch sublittoraal",7,0.08946,0.00236182180605974,2.33400005847216,0.333428579781737,NA,NA,NA,NA,18355,4.59999999999999,10.1625,7.875,254.583333333333,1008.35,7.08333333333333,4.33333333333333,6.47222222222222,6.34722222222222,241.986714975845,1015.11944444445,5.79166666666667,13,"Inland","River","Highly Natural",0,"Low","Moderate","High","2022-04-05","Spring"
"77",77,280,"MIC_S_020","River Scheldt (Breskens)","Sediment","Sand",14,"Breskens",0.151664937486743,1550,0,"No","Yes",4560.276,"No",NA,1485.85,0.025,2.18509686118416,15,0,0,0.288,0.427,0,1.451,12.678,0,0.106,0,23.4075235109718,"Hoogdynamisch sublittoraal",0,0,0,0,NA,NA,NA,NA,NA,18355,0,2.2625,4,178.333333333333,1032.16249999999,6.16666666666666,2,2.50277777777778,4.73611111111111,202.083333333333,1018.54305555555,5.31818181818181,6,"Coastal","River","Highly Natural",0,"Low","Moderate","Moderate","2022-01-11","Winter"
"78",78,281,"MIC_S_021","River Scheldt (Terneuzen)","Sediment","Sand",27,"Terneuzen",0.193043486831849,2796,0,"No","Yes",5795.649,"Yes","Outside",629.126,0.025,2.18509686118416,15,0,0,0,1.951,0,3.842,9.18,0,0,0,49.3943217665615,"Hoogdynamisch sublittoraal",7,0.08946,0.00236182180605974,2.33400005847216,0.333428579781737,NA,NA,NA,NA,18355,0,2.2625,4,178.333333333333,1032.16249999999,6.16666666666666,2,2.50277777777778,4.73611111111111,202.083333333333,1018.54305555555,5.31818181818181,6,"Inland","River","Highly Natural",0,"Low","Moderate","High","2022-01-11","Winter"
"79",79,282,"MIC_S_022","River Scheldt (Antwerpen)","Sediment","Sand",7,"Antwerp",0.470055991739951,578,4,"No","No",440.237,"Yes","Middle",177.35,0.025,2.18509686118416,15,1,4,0,2.523,1.66,6.144,2.503,2.185,0.001,0,20.9269841269841,"Diep Subtidaal",111,1.41858,0.0374517457818045,381.646991938353,3.43826118863381,NA,NA,NA,NA,14233,0,8.97173913043478,3.17391304347825,33.4782608695651,1018.3347826087,5.54545454545455,0,10.1653660349313,3.06117614269788,134.556856187291,1016.76020531401,6.15227526097092,0,"Inland","River","Moderate natural",9,"High","Moderate","Moderate","2020-10-14","Autumn"
"80",80,283,"MIC_S_023","River Scheldt (Wintam)","Sediment","Sand",10,"Wintam",0.578952432274277,1182,4,"Yes","Yes",162.84,"Yes","Middle",62.325,0.025,2.18509686118416,15,0,2,4.883,0.85,0,3.525,2.832,2.956,0,0,37.4145569620253,"Diep Subtidaal",550,7.029,0.185571713333265,1098.52699995786,1.9973218181052,NA,NA,NA,NA,14233,0,8.97173913043478,3.17391304347825,33.4782608695651,1018.3347826087,5.54545454545455,0,10.1653660349313,3.06117614269788,134.556856187291,1016.76020531401,6.15227526097092,0,"Inland","River","Moderate natural",6,"High","Moderate","Moderate","2020-10-14","Autumn"
"81",81,284,"MIC_S_026","Port of Antwerp (Vijfde Havendok)","Sediment","Sludge+sand",10,"Vijfde Havendok",0.365489811353062,761,1,"No","No",277.86,"No",NA,43.311,0.025,2.18509686118416,15,0,0,0,6.846,0.123,1.667,4.557,1.019,0.792,0,33.0134813639968,"Antropogeen",22,0.28116,0.00742286853333062,26.7339999675751,1.21518181670796,NA,NA,NA,NA,38933,0,20.5625,2.70833333333332,40.8695652173912,1020.27083333333,4.41666666666666,0,19.9930555555555,2.2361111111111,125.954537612146,1022.78611111111,1.875,0,"Inland","Port","Moderate natural",1,"Low","High","Moderate","2021-06-15","Summer"
"82",82,285,"MIC_S_027","Port of Antwerp (Doeldok)","Sediment","Sludge+sand",7,"Doeldok",0.101967214843083,70,0,"Yes","No",572.789,"No",NA,64.5,0.025,2.18509686118416,15,0,0,3.599,7.037,0,0.001,3.862,0.493,0,0,28.0341540905481,"Antropogeen",376,4.80528,0.126863571296923,476.506003022194,1.26730319952711,NA,NA,NA,NA,4812,0,23.6181818181818,2.09090909090908,136.818181818182,1013.77727272727,1.90909090909091,0,21.8352272727272,2.48863636363636,138.435598218207,1018.34242424242,2.49747474747475,0,"Inland","Port","Moderate natural",0,"Low","Low","Moderate","2021-06-16","Summer"
"83",83,286,"MIC_S_034","River Scheldt (Temse)","Sediment","Sand",5,"Temse",0.692196088302361,470,3,"Yes","Yes",138.086,"No",NA,32.053,0.025,2.18509686118416,15,3,0,7.248,0.19,0,4.425,1.478,1.705,0,0,50.8391167192429,"Matig Diep Subtidaal",440,5.6232,0.148457370666612,822.980994567275,1.87041135128926,NA,NA,NA,NA,9459,0,4.16249999999999,0.666666666666666,212.142857142857,1030.79166666666,7,3.06666666666666,5.48055555555555,1.91666666666667,209.785431959345,1024.25833333333,4.16538789428815,9.19999999999999,"Inland","River","Low natural",6,"High","Low","High","2021-11-23","Autumn"
"84",84,287,"MIC_S_035","River Scheldt (Wintam)","Sediment","Sludge+sand",10,"Wintam",0.578952432274277,1182,4,"Yes","Yes",162.84,"Yes","Middle",62.325,0.025,2.18509686118416,15,0,2,4.883,0.85,0,3.525,2.832,2.956,0,0,37.4145569620253,"Diep Subtidaal",550,7.029,0.185571713333265,1098.52699995786,1.9973218181052,NA,NA,NA,NA,14233,0,17.0874999999999,3.04166666666667,155.217391304348,1023.19583333333,2.29166666666667,0.666666666666667,17.6541666666666,3.41666666666666,106.600241545894,1024.82083333333,3.22222222222222,2,"Inland","River","Moderate natural",6,"High","Moderate","Moderate","2021-08-25","Summer"
