"","X.1","X","Code.Campaign","Date","Sampling.Location","Unique.Sample.Identifier","Sample.Type","Matrix","Volume..L.","DW..Sediment..kg.","Particle.count","Total.plastic.mass..kg.","Concentration..g.plastic.L.water.","Concentration..g.plastic.kg.dry.weight.sediment.","Sediment.type","Depth.Sample..m.","T1..START.","T2..STOP.","Tide","Unique.Particle.Identifier","Replicate..sediment.","Polymer","Match","Lenght..mm.","Width..mm.","Maximal.dimension..mm.","Weight..mg.","Color","Shape_obs","Sampling.Area","Type.of.Campaign","Sampling.Location.specific","Sampling.Area.general","LengthWidthratio","estimated.Hight..mm.","CSF","Shape_est","SizeClass","Transpar_NERC","Color_NERC","Color_NERC_Interreg","Shape_NERC","Shape_tot","Polymer_NERC","Diff_Time","T2..STOP..1","Diff_time"
"11",31794,31794,"NP_21_01","2021-03-12","Port of Nieuwpoort (B)","MAC_S_012","Macroplastics (> 5 mm)","Sediment",NA,0.298851,0,0,NA,0,"Sludge",5,"1899-12-31 13:45:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Nieuwpoort","Spotsampling","Nieuwpoort (B)","Port of Nieuwpoort",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"12",31795,31795,"NP_21_01","2021-03-12","Port of Nieuwpoort (C)","MAC_S_013","Macroplastics (> 5 mm)","Sediment",NA,0.876069,0,0,NA,0,"Sand",8,"1899-12-31 11:25:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Nieuwpoort","Spotsampling","Nieuwpoort (C)","Port of Nieuwpoort",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"13",31796,31796,"SH_20_01a","2020-10-14","River Scheldt (Wintam)","MAC_S_014","Macroplastics (> 5 mm)","Sediment",NA,0.986946,0,0,NA,0,"Sand",10,"1899-12-31 10:47:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"14",31797,31797,"OS_21_01","2021-02-15","Port of Oostende (A)","MAC_S_015","Macroplastics (> 5 mm)","Sediment",NA,0.425574,0,0,NA,0,"Sludge",3,"1899-12-31 09:45:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Oostende","Spotsampling","Ostend (A)","Port of Ostend",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"15",31798,31798,"OS_21_01","2021-02-15","Port of Oostende (B)","MAC_S_016","Macroplastics (> 5 mm)","Sediment",NA,0.250398,0,0,NA,0,"Sludge",6,"1899-12-31 10:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Oostende","Spotsampling","Ostend (B)","Port of Ostend",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"16",31799,31799,"OS_21_01","2021-02-15","Port of Oostende (C)","MAC_S_017","Macroplastics (> 5 mm)","Sediment",NA,0.527608,2,0.0000016,NA,0.003032554,"Sludge",6,"1899-12-31 10:55:00",NA,NA,"MAC_S_017_1",NA,"Polyethyleen",87.64,15.22,6,15.22,0.84,"TRANSPARENT","Foil","Port of Oostende","Spotsampling","Ostend (C)","Port of Ostend",2.53666666666667,2.36530880420499,0.247516922689392,"Non-filaments","SC5","transparent/translucent","COLOURLESS","COLOURLESS","films","films","polyethylene",NA,NA,NA
"17",31800,31800,"OS_21_01","2021-02-15","Port of Oostende (C)","MAC_S_017","Macroplastics (> 5 mm)","Sediment",NA,0.527608,2,0.0000016,NA,0.003032554,"Sludge",6,"1899-12-31 10:55:00",NA,NA,"MAC_S_017_2",NA,"Polypropyleen",88.92,20.26,10.53,20.26,0.76,"TRANSPARENT","Foil","Port of Oostende","Spotsampling","Ostend (C)","Port of Ostend",1.92402659069326,5.47289733464955,0.37469974301978,"Non-filaments","SC5","transparent/translucent","COLOURLESS","COLOURLESS","films","films","polypropylene",NA,NA,NA
"18",31801,31801,"AW_21_01","2021-06-15","Port of Antwerp (Vijfde Havendok)","MAC_S_018","Macroplastics (> 5 mm)","Sediment",NA,0.43969,1,0.0000008,NA,0.00000181946,"Sludge+sand",10,"1899-12-31 11:30:00",NA,NA,"MAC_S_018_1",NA,"Polypropyleen",76.92,45.715,0.79,45.715,0.8,"ORANGE","Fiber","Port of Antwerp","Spotsampling","Vijfde Havendok","Port of Antwerp",57.8670886075949,0.0136519741879033,0.00227170822672408,"Non-filaments","SC5","opaque","ORANGE","ORANGE/RED/PURPLE/PINK","filaments","filaments","polypropylene",NA,NA,NA
"19",31802,31802,"SH_20_01a","2020-10-15","River Scheldt (Doel)","MAC_S_019","Macroplastics (> 5 mm)","Sediment",NA,0.787416,0,0,NA,0,"Sludge",10,"1899-12-31 18:13:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"River Scheldt","Spotsampling","Doel","River Scheldt (Downstream)",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"20",31803,31803,"SH_20_01a","2020-10-15","River Scheldt (Antwerpen)","MAC_S_020","Macroplastics (> 5 mm)","Sediment",NA,0.952815,0,0,NA,0,"Sand",7,"1899-12-31 13:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"River Scheldt","Spotsampling","Antwerp","River Scheldt (Upstream)",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"21",31804,31804,"AW_21_02","2021-06-16","Port of Antwerp (Doeldok)","MAC_S_021","Macroplastics (> 5 mm)","Sediment",NA,0.68321,1,0.000007,NA,0.0000102458,"Sludge",7,"1899-12-31 11:25:00",NA,NA,"MAC_S_021_1",NA,"Polypropyleen",76.26,118.09,1.09,118.09,7,"WHITE","Fiber","Port of Antwerp","Spotsampling","Doeldok","Port of Antwerp",108.339449541284,0.0100609704462698,0.000886788521480444,"Non-filaments","SC7","opaque","WHITE/CREAM","WHITE/CREAM","filaments","filaments","polypropylene",NA,NA,NA
"22",31805,31805,"NSP_21_01","2021-05-17","North Sea Port (Grootdok)","MAC_S_022","Macroplastics (> 5 mm)","Sediment",NA,0.571726,0,0,NA,0,"Sludge+sand",4,"1899-12-31 11:45:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Sea Port","Spotsampling","Grootdok","North Sea Port",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
