"","X.1","X","Code.Campaign","Date","Sampling.Location","Unique.Sample.Identifier","Sample.Type","Matrix","Volume..L.","DW..Sediment..kg.","Particle.count","Total.plastic.mass..kg.","Concentration..g.plastic.L.water.","Concentration..g.plastic.kg.dry.weight.sediment.","Sediment.type","Depth.Sample..m.","T1..START.","T2..STOP.","Tide","Unique.Particle.Identifier","Replicate..sediment.","Polymer","Match","Lenght..mm.","Width..mm.","Maximal.dimension..mm.","Weight..mg.","Color","Shape_obs","Sampling.Area","Type.of.Campaign","Sampling.Location.specific","Sampling.Area.general","LengthWidthratio","estimated.Hight..mm.","CSF","Shape_est","SizeClass","Transpar_NERC","Color_NERC","Color_NERC_Interreg","Shape_NERC","Shape_tot","Polymer_NERC","Diff_Time","T2..STOP..1","Diff_time"
"35",31818,31818,"AW_20_01","2020-11-19","Port of Antwerp (Kanaaldok)","MAC_S_035","Macroplastics (> 5 mm)","Sediment",NA,0.405222,0,0,NA,0,"Sludge",4,"1899-12-31 11:30:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Antwerp","Spotsampling","Kanaaldok","Port of Antwerp",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"36",31819,31819,"SH_21_03a","2021-04-21","River Scheldt (Doel)","MAC_S_037","Macroplastics (> 5 mm)","Sediment",NA,12.9346375,1,0.00000056,NA,0.0000000432946,"Sludge",10,"1899-12-31 20:40:00",NA,NA,"MAC_S_037_1",NA,"Polystyreen",87.43,18.07,3.88,18.07,0.56,"TRANSPARENT","Foil","River Scheldt","Spotsampling","Doel","River Scheldt (Downstream)",4.65721649484536,0.8331156613171,0.0994970855249187,"Non-filaments","SC5","transparent/translucent","COLOURLESS","COLOURLESS","films","films","polystyrene",NA,NA,NA
"37",31820,31820,"SH_21_06a","2021-08-26","River Scheldt (Antwerpen)","MAC_S_038","Macroplastics (> 5 mm)","Sediment",NA,16.128825,0,0,NA,0,"Sand",7,"1899-12-31 10:45:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"River Scheldt","Spotsampling","Antwerp","River Scheldt (Upstream)",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"38",31821,31821,"OS_21_03","2021-04-27","Port of Oostende (B)","MAC_S_039","Macroplastics (> 5 mm)","Sediment",NA,17.431,1,0.004,NA,0.000229476,"Sludge",7,"1899-12-31 16:00:00",NA,NA,"MAC_S_039_1",NA,"Polyethyleen",88.63,64.7,0.32,64.7,4,"BLUE","Fiber","Port of Oostende","Spotsampling","Ostend (B)","Port of Ostend",202.1875,0.00158268933539413,0.000347831209146801,"Non-filaments","SC6","opaque","BLUE","BLUE/GREEN","filaments","filaments","polyethylene",NA,NA,NA
"39",31822,31822,"NP_20_01","2020-09-22","Port of Nieuwpoort (A)","MAC_S_040","Macroplastics (> 5 mm)","Sediment",NA,0.325817,0,0,NA,0,"Sand",4.5,"1899-12-31 12:35:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Nieuwpoort","Spotsampling","Nieuwpoort (A)","Port of Nieuwpoort",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"40",31823,31823,"NP_20_01","2020-09-22","Port of Nieuwpoort (B)","MAC_S_041","Macroplastics (> 5 mm)","Sediment",NA,0.298851,0,0,NA,0,"Sludge",4,"1899-12-31 13:20:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Nieuwpoort","Spotsampling","Nieuwpoort (B)","Port of Nieuwpoort",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"41",31824,31824,"NP_20_01","2020-09-22","Port of Nieuwpoort (C)","MAC_S_042","Macroplastics (> 5 mm)","Sediment",NA,0.876069,0,0,NA,0,"Sludge",1,"1899-12-31 11:30:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Nieuwpoort","Spotsampling","Nieuwpoort (C)","Port of Nieuwpoort",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"42",31825,31825,"OS_20_03","2020-09-24","Port of Oostende (A)","MAC_S_043","Macroplastics (> 5 mm)","Sediment",NA,0.406222,0,0,NA,0,"Sludge",9,"1899-12-31 10:06:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Oostende","Spotsampling","Ostend (A)","Port of Ostend",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"43",31826,31826,"OS_20_03","2020-09-24","Port of Oostende (B)","MAC_S_044","Macroplastics (> 5 mm)","Sediment",NA,0.353842,0,0,NA,0,"Sludge",10.5,"1899-12-31 11:12:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Oostende","Spotsampling","Ostend (B)","Port of Ostend",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"44",31827,31827,"OS_20_03","2020-09-24","Port of Oostende (C)","MAC_S_045","Macroplastics (> 5 mm)","Sediment",NA,0.827517,0,0,NA,0,"Sludge",6,"1899-12-31 10:45:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Oostende","Spotsampling","Ostend (C)","Port of Ostend",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
