"","X.1","X","Code.Campaign","Date","Sampling.Location","Unique.Sample.Identifier","Sample.Type","Matrix","Volume..L.","DW..Sediment..kg.","Particle.count","Total.plastic.mass..kg.","Concentration..g.plastic.L.water.","Concentration..g.plastic.kg.dry.weight.sediment.","Sediment.type","Depth.Sample..m.","T1..START.","T2..STOP.","Tide","Unique.Particle.Identifier","Replicate..sediment.","Polymer","Match","Lenght..mm.","Width..mm.","Maximal.dimension..mm.","Weight..mg.","Color","Shape_obs","Sampling.Area","Type.of.Campaign","Sampling.Location.specific","Sampling.Area.general","LengthWidthratio","estimated.Hight..mm.","CSF","Shape_est","SizeClass","Transpar_NERC","Color_NERC","Color_NERC_Interreg","Shape_NERC","Shape_tot","Polymer_NERC","Diff_Time","T2..STOP..1","Diff_time"
"475",32320,32320,"SH_21_07","2021-11-23","River Scheldt (Temse)","MAC_W_108","Macroplastics (> 5 mm)","Water",20560.5,NA,12,NA,0.000583643393886336,NA,NA,1,"1899-12-31 09:11:00","1899-12-31 09:21:00",NA,"MAC_W_108_3",NA,"Polypropyleen",74.79,18.745,NA,18.745,43,"TRANSP","HARD BLASTIC","River Scheldt","Spotsampling","Temse","River Scheldt (Upstream)",NA,NA,NA,NA,"SC5","transparent/translucent","COLOURLESS","COLOURLESS","fragments","fragments","polypropylene",10,NA,NA
"476",32321,32321,"SH_21_07","2021-11-23","River Scheldt (Temse)","MAC_W_108","Macroplastics (> 5 mm)","Water",20560.5,NA,12,NA,0.000583643393886336,NA,NA,1,"1899-12-31 09:11:00","1899-12-31 09:21:00",NA,"MAC_W_108_4",NA,"Polyethyleen",91.47,10.61,NA,10.61,19,"BLUE","HARD BLASTIC","River Scheldt","Spotsampling","Temse","River Scheldt (Upstream)",NA,NA,NA,NA,"SC4","opaque","BLUE","BLUE/GREEN","fragments","fragments","polyethylene",10,NA,NA
"477",32322,32322,"SH_21_07","2021-11-23","River Scheldt (Temse)","MAC_W_108","Macroplastics (> 5 mm)","Water",20560.5,NA,12,NA,0.000583643393886336,NA,NA,1,"1899-12-31 09:11:00","1899-12-31 09:21:00",NA,"MAC_W_108_5",NA,"ND",NA,NA,NA,NA,NA,NA,"PELLET","River Scheldt","Spotsampling","Temse","River Scheldt (Upstream)",NA,NA,NA,NA,"SC3",NA,NA,"UNDEFINED","pellets","pellets","undefined plastic",10,NA,NA
"478",32323,32323,"SH_21_07","2021-11-23","River Scheldt (Temse)","MAC_W_108","Macroplastics (> 5 mm)","Water",20560.5,NA,12,NA,0.000583643393886336,NA,NA,1,"1899-12-31 09:11:00","1899-12-31 09:21:00",NA,"MAC_W_108_6",NA,"ND",NA,NA,NA,NA,NA,NA,"PELLET","River Scheldt","Spotsampling","Temse","River Scheldt (Upstream)",NA,NA,NA,NA,"SC3",NA,NA,"UNDEFINED","pellets","pellets","undefined plastic",10,NA,NA
"479",32324,32324,"SH_21_07","2021-11-23","River Scheldt (Temse)","MAC_W_108","Macroplastics (> 5 mm)","Water",20560.5,NA,12,NA,0.000583643393886336,NA,NA,1,"1899-12-31 09:11:00","1899-12-31 09:21:00",NA,"MAC_W_108_7",NA,"ND",NA,NA,NA,NA,NA,NA,"PELLET","River Scheldt","Spotsampling","Temse","River Scheldt (Upstream)",NA,NA,NA,NA,"SC3",NA,NA,"UNDEFINED","pellets","pellets","undefined plastic",10,NA,NA
"480",32325,32325,"SH_21_07","2021-11-23","River Scheldt (Temse)","MAC_W_108","Macroplastics (> 5 mm)","Water",20560.5,NA,12,NA,0.000583643393886336,NA,NA,1,"1899-12-31 09:11:00","1899-12-31 09:21:00",NA,"MAC_W_108_8",NA,"ND",NA,NA,NA,NA,NA,NA,"PELLET","River Scheldt","Spotsampling","Temse","River Scheldt (Upstream)",NA,NA,NA,NA,"SC3",NA,NA,"UNDEFINED","pellets","pellets","undefined plastic",10,NA,NA
"481",32326,32326,"SH_21_07","2021-11-23","River Scheldt (Temse)","MAC_W_108","Macroplastics (> 5 mm)","Water",20560.5,NA,12,NA,0.000583643393886336,NA,NA,1,"1899-12-31 09:11:00","1899-12-31 09:21:00",NA,"MAC_W_108_9",NA,"ND",NA,NA,NA,NA,NA,NA,"PELLET","River Scheldt","Spotsampling","Temse","River Scheldt (Upstream)",NA,NA,NA,NA,"SC3",NA,NA,"UNDEFINED","pellets","pellets","undefined plastic",10,NA,NA
"482",32327,32327,"SH_21_08","2021-11-24","River Scheldt (Wintam)","MAC_W_109","Macroplastics (> 5 mm)","Water",28390.5,NA,0,NA,0,NA,NA,1,"1899-12-31 08:28:00","1899-12-31 08:38:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,10,NA,NA
"483",32328,32328,"OS_22_01","2022-01-18","Port of Oostende (A)","MAC_W_116","Macroplastics (> 5 mm)","Water",27945,NA,3,NA,0.000107353730542136,NA,NA,1,"1899-12-31 13:10:00","1899-12-31 13:17:00",NA,"MAC_W_116_1",NA,"Polypropyleen",99.07,69.95,NA,69.95,136,"TRANSPARENT","FOIL","Port of Oostende","Spotsampling","Ostend (A)","Port of Ostend",NA,NA,NA,NA,"SC6","transparent/translucent","COLOURLESS","COLOURLESS","films","films","polypropylene",7,NA,NA
"484",32329,32329,"OS_22_01","2022-01-18","Port of Oostende (A)","MAC_W_116","Macroplastics (> 5 mm)","Water",27945,NA,3,NA,0.000107353730542136,NA,NA,1,"1899-12-31 13:10:00","1899-12-31 13:17:00",NA,"MAC_W_116_2",NA,"Polyethyleen",99.17,11.39,NA,11.39,NA,"TRANSPARENT","FOIL","Port of Oostende","Spotsampling","Ostend (A)","Port of Ostend",NA,NA,NA,NA,"SC4","transparent/translucent","COLOURLESS","COLOURLESS","films","films","polyethylene",7,NA,NA
"485",32330,32330,"OS_22_01","2022-01-18","Port of Oostende (A)","MAC_W_116","Macroplastics (> 5 mm)","Water",27945,NA,3,NA,0.000107353730542136,NA,NA,1,"1899-12-31 13:10:00","1899-12-31 13:17:00",NA,"MAC_W_116_3",NA,"Polypropyleen",80.82,40.305,NA,40.305,7,"GREEN","FIBER","Port of Oostende","Spotsampling","Ostend (A)","Port of Ostend",NA,NA,NA,NA,"SC5","opaque","GREEN","BLUE/GREEN","filaments","filaments","polypropylene",7,NA,NA
"486",32331,32331,"OS_22_01","2022-01-18","Port of Oostende (B)","MAC_W_117","Macroplastics (> 5 mm)","Water",27783,NA,0,0,0,NA,NA,1,"1899-12-31 13:43:00","1899-12-31 13:51:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Oostende","Spotsampling","Ostend (B)","Port of Ostend",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,8,NA,NA
"487",32332,32332,"OS_22_01","2022-01-18","Port of Oostende (C)","MAC_W_118","Macroplastics (> 5 mm)","Water",24219,NA,2,NA,0.0000825797927247203,NA,NA,1,"1899-12-31 14:03:00","1899-12-31 14:10:00",NA,"MAC_W_118_1",NA,"Polypropyleen",88.56,33.14,NA,33.14,NA,"YELLOW","FOIL","Port of Oostende","Spotsampling","Ostend (C)","Port of Ostend",NA,NA,NA,NA,"SC5","opaque","YELLOW","YELLOW","films","films","polypropylene",7,NA,NA
"488",32333,32333,"OS_22_01","2022-01-18","Port of Oostende (C)","MAC_W_118","Macroplastics (> 5 mm)","Water",24219,NA,2,NA,0.0000825797927247203,NA,NA,1,"1899-12-31 14:03:00","1899-12-31 14:10:00",NA,"MAC_W_118_2",NA,"Polypropyleen",96.48,19.02,NA,19.02,NA,"WHITE","FOIL","Port of Oostende","Spotsampling","Ostend (C)","Port of Ostend",NA,NA,NA,NA,"SC5","opaque","WHITE/CREAM","WHITE/CREAM","films","films","polypropylene",7,NA,NA
"489",32334,32334,"AW_22_01","2022-03-31","Port of Antwerp (Kanaaldok)","MAC_W_119","Macroplastics (> 5 mm)","Water",41040,NA,0,0,0,NA,NA,1,"1899-12-31 11:23:00","1899-12-31 11:35:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Antwerp","Spotsampling","Kanaaldok","Port of Antwerp",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,12,NA,NA
"490",32335,32335,"AW_22_01","2022-03-31","Port of Antwerp (Schelde Rijn kanaal)","MAC_W_120","Macroplastics (> 5 mm)","Water",37003.5,NA,2,NA,0.000054048941316362,NA,NA,1,"1899-12-31 12:15:00","1899-12-31 12:27:00",NA,"MAC_W_120_1",NA,NA,NA,NA,NA,NA,NA,NA,"PELLET","Port of Antwerp","Spotsampling","Schelde Rijn kanaal","Port of Antwerp",NA,NA,NA,NA,"SC3",NA,NA,"UNDEFINED","pellets","pellets","undefined plastic",12,NA,NA
"491",32336,32336,"AW_22_01","2022-03-31","Port of Antwerp (Schelde Rijn kanaal)","MAC_W_120","Macroplastics (> 5 mm)","Water",37003.5,NA,2,NA,0.000054048941316362,NA,NA,1,"1899-12-31 12:15:00","1899-12-31 12:27:00",NA,"MAC_W_120_2",NA,NA,NA,NA,NA,NA,NA,NA,"PELLET","Port of Antwerp","Spotsampling","Schelde Rijn kanaal","Port of Antwerp",NA,NA,NA,NA,"SC3",NA,NA,"UNDEFINED","pellets","pellets","undefined plastic",12,NA,NA
"492",32337,32337,"AW_22_02","2022-04-20","Port of Antwerp (Vijfde Havendok)","MAC_W_121","Macroplastics (> 5 mm)","Water",35748,NA,1,NA,0.0000279735929282757,NA,NA,1,"1899-12-31 11:58:00","1899-12-31 12:08:00",NA,"MAC_W_121_1",NA,"ND",NA,NA,NA,NA,NA,NA,"PELLET","Port of Antwerp","Spotsampling","Vijfde Havendok","Port of Antwerp",NA,NA,NA,NA,"SC3",NA,NA,"UNDEFINED","pellets","pellets","undefined plastic",10,NA,NA
"493",32338,32338,"SH_22_03","2022-04-05","River Scheldt (Wintam)","MAC_W_122","Macroplastics (> 5 mm)","Water",31023,NA,1,NA,0.0000322341488572994,NA,NA,1,"1899-12-31 21:24:00","1899-12-31 21:34:00",NA,"MAC_W_122_1",NA,"Polyethyleen",98.35,25.57,NA,25.57,NA,"TRANSP","FOIL","River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,"SC5","transparent/translucent","COLOURLESS","COLOURLESS","films","films","polyethylene",10,NA,NA
