"","PP_total_conc","PE_total_conc","PES_total_conc","PS_total_conc","PAM_total_conc","Others_total_conc","Unknown_pm_total_conc","SC1_total_conc","SC2_total_conc","SC3_total_conc","SC4_total_conc","SC5_total_conc","Loc_total_conc","avgLWratio","clust","Unique.Sample.Identifier"
"MIC_W_001",8.84466556108347,1.73734502092711,1.65837479270315,20.6112295664534,3.86954118297402,0,0.315880912895838,30.9563294637922,4.42233278054174,0.947642738687515,0.631761825791677,0.0789702282239596,37.037037037037,2.5236513246609,"2","MIC_W_001"
"MIC_W_009",18.0504063213871,0.299591806164101,1.72265288544358,1.94734674006666,1.34816312773846,0,0,19.0989776429615,3.07081601318204,0.97367337003333,0.224693854623076,0,23.3681608807999,2.72771504653693,"1","MIC_W_009"
"MIC_W_010",6.91742325983571,1.22496036892924,0.0720564922899553,14.7715809194408,0.216169476869866,0,0.0720564922899553,20.0317048566076,2.01758178411875,0.432338953739732,0.576451938319643,0.216169476869866,23.2742470096556,2.3559248605868,"2","MIC_W_010"
"MIC_W_011",0.0479133726222989,0,0.0479133726222989,0.0479133726222989,0.0958267452445978,0,0,0.239566863111494,0,0,0,0,0.239566863111494,3.32509619592696,"1","MIC_W_011"
"MIC_W_012",0.212246630584739,0,0.14149775372316,0,0,0,0,0.353744384307899,0,0,0,0,0.353744384307899,2.66520598443352,"1","MIC_W_012"
"MIC_W_013",0.172935581495893,0,0,0,0,0,0,0.172935581495893,0,0,0,0,0.172935581495893,2.18502283948227,"1","MIC_W_013"
"MIC_W_014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MIC_W_014"
"MIC_W_015",1.91846522781775,0.0532907007727152,0.0532907007727152,0.10658140154543,0,0,0,1.49213962163602,0.479616306954436,0.159872102318145,0,0,2.13162803090861,3.03343419602732,"1","MIC_W_015"
"MIC_W_016",0.163398692810458,0.0544662309368192,0,0,0,0,0,0.217864923747277,0,0,0,0,0.217864923747277,3.05300363687254,"1","MIC_W_016"
"MIC_W_017",5.37634408602151,0,0.29868578255675,1.194743130227,0,0,0,5.97371565113501,0.896057347670251,0,0,0,6.86977299880526,2.28594474968805,"1","MIC_W_017"
"MIC_W_018",0.645850411108627,0.0496808008545098,0.198723203418039,0,0.0993616017090195,0,0,0.844573614526666,0.0993616017090195,0.0496808008545098,0,0,0.993616017090195,1.92455492760515,"1","MIC_W_018"
"MIC_W_019",1.78842514608938,0.0831825649343897,0,0.0415912824671949,0.0415912824671949,0,0,1.58046873375341,0.291138977270364,0.0831825649343897,0,0,1.95479027595816,2.23252233204492,"1","MIC_W_019"
"MIC_W_020",4.18224956770016,0.0804278763019263,0.160855752603853,0.321711505207705,0.0804278763019263,0,0,3.29754292837898,1.28684602083082,0.241283628905779,0,0,4.82567257811557,2.07796071250734,"1","MIC_W_020"
"MIC_W_023",2.36996697173688,0,0.0504248291858911,0.201699316743565,0.201699316743565,0,0,2.21869248417921,0.403398633487129,0.151274487557673,0.0504248291858911,0,2.8237904344099,2.71148396481493,"1","MIC_W_023"
"MIC_W_024",4.1464614519643,0.140558015320824,0.281116030641647,0.421674045962471,0,0,0,3.584229390681,0.913627099585354,0.351395038302059,0.140558015320824,0,4.98980954388924,2.39244729004198,"1","MIC_W_024"
"MIC_W_025",14.7047790531923,0.750243829244505,0.600195063395604,0.150048765848901,0.350113786980769,0,0,13.8044864580989,2.60084527471428,0.150048765848901,0,0,16.5553804986621,2.55316200545364,"1","MIC_W_025"
"MIC_W_026",5.77882847386393,0.175116014359513,0.291860023932522,0.408604033505531,0,0,0,5.19510842599889,1.3425561100896,0.116744009573009,0,0,6.6544085456615,2.18938623751604,"1","MIC_W_026"
"MIC_W_027",13.6067967609186,3.51785477233506,1.46024160361078,7.69945572812956,0.995619275189168,0,0,22.1691225275455,4.11522633744856,0.995619275189168,0,0,27.2799681401832,2.48761457801838,"1","MIC_W_027"
"MIC_W_028",15.646009045349,1.38532371755694,0.896385934889785,53.7016664629426,1.62979260889052,0,0,64.7842562033981,7.57853563134091,0.651917043556207,0.244468891333578,0,73.2591777696288,2.57017582131123,"1","MIC_W_028"
"MIC_W_034",136.641495864797,2.87666307083783,19.7770586120101,177.993527508091,11.866235167206,0,0,310.679611650485,37.037037037037,1.43833153541891,0,0,349.154980222941,2.31747981585992,"3","MIC_W_034"
"MIC_W_035",4.76683287860256,0.125442970489541,0,0.313607426223853,0.0627214852447706,0,0,3.95145357042055,1.0662652491611,0.250885940979082,0,0,5.26860476056073,2.16368003860822,"1","MIC_W_035"
"MIC_W_036",2.98865985140495,0.11172560192168,0.335176805765041,0.530696609127982,0.1396570024021,0,0,2.84900284900285,0.865873414893023,0.335176805765041,0.0558628009608402,0,4.10591587062175,2.45505173686647,"1","MIC_W_036"
"MIC_W_037",6.25790559882831,0.26629385526929,0.221911546057741,0.133146927634645,0.177529236846193,0,0,5.72531788828973,1.10955773028871,0.177529236846193,0.0443823092115483,0,7.05678716463618,2.89340708070532,"1","MIC_W_037"
"MIC_W_038",4.19214645590554,0.153840236913965,0.384600592284912,0.30768047382793,0.230760355370947,0,0,3.76908580439214,1.23072189531172,0.269220414599438,0,0,5.2690281143033,2.93398258036046,"1","MIC_W_038"
"MIC_W_039",1.7636684303351,0.0503905265810028,0,0.0503905265810028,0,0,0,1.20937263794407,0.554295792391031,0.100781053162006,0,0,1.8644494834971,2.75739374720252,"1","MIC_W_039"
"MIC_W_040",3.04884594739667,0.214707461084273,0.214707461084273,0.687063875469673,0.300590445517982,0,0,3.04884594739667,0.9447128287708,0.300590445517982,0.128824476650564,0.0429414922168545,4.46591519055287,2.91705238472456,"1","MIC_W_040"
"MIC_W_041",8.83002207505519,0.758133208464334,0.802729279550472,0.0445960710861373,1.47167034584253,0,0,9.14219457265815,2.45278390973755,0.312172497602961,0,0,11.9071509799987,2.66525272881682,"1","MIC_W_041"
"MIC_W_042",0.109200109200109,0.0364000364000364,0,0,0,0,0,0.0728000728000728,0.0728000728000728,0,0,0,0.145600145600146,1.92635090200256,"1","MIC_W_042"
"MIC_W_043",0.0678955766031843,0,0,0.101843364904776,0,0,0,0.135791153206369,0,0.0339477883015922,0,0,0.169738941507961,2.32860573814198,"1","MIC_W_043"
"MIC_W_044",7.2508548593087,0.164792155893379,0.411980389733449,2.55427841634738,0.247188233840069,0,0,7.74523132698884,2.55427841634738,0.247188233840069,0.0823960779466897,0,10.629094055123,2.30354465280113,"1","MIC_W_044"
"MIC_W_045",9.8957582744872,0.0960753230532738,0.0960753230532738,0.76860258442619,0.0960753230532738,0,0,8.64677907479464,1.63328049190565,0.672527261372916,0,0,10.9525868280732,2.77761074055821,"1","MIC_W_045"
"MIC_W_046",4.16803773170999,0.731234689773683,0.877481627728419,1.16997550363789,0.109685203466052,0,0,5.26488976637052,0.914043362217104,0.475302548352894,0.329055610398157,0.0731234689773683,7.05641475631604,2.49888159636595,"1","MIC_W_046"
"MIC_W_054",0.724187875025864,0.413821642871922,0.310366232153942,1.65528657148769,4.44858266087316,0,0,5.79350300020691,0.724187875025864,0.931098696461825,0.103455410717981,0,7.55224498241258,2.81491002478674,"1","MIC_W_054"
"MIC_W_055",0.100781053162006,0.0503905265810028,0.705467372134039,0.151171579743008,0.352733686067019,0,0,1.20937263794407,0.100781053162006,0.0503905265810028,0,0,1.36054421768707,2.44570808407147,"1","MIC_W_055"
"MIC_W_056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MIC_W_056"
"MIC_W_064",0.818498056067117,0.148817828375839,0.260431199657719,0.669680227691277,0.260431199657719,0,0,1.78581394051007,0.297635656751679,0.0744089141879197,0,0,2.15785851144967,2.68626956990088,"1","MIC_W_064"
"MIC_W_065",3.13304240796688,0.39163030099586,0,0.111894371713103,0,0.0559471858565514,0,1.79030994740965,1.45462683227034,0.447577486852411,0,0,3.69251426653239,2.98306051801513,"1","MIC_W_065"
"MIC_W_066",0.721394258357516,0.0327906481071598,0.852556850786156,0.327906481071598,0.229534536750119,0,0,1.80348564589379,0.262325184857279,0.0655812962143197,0.0327906481071598,0,2.16418277507255,2.87120941896779,"1","MIC_W_066"
"MIC_W_067",12.2004357298475,1.22004357298475,0,7.84313725490196,0.174291938997821,0,0,17.9520697167756,2.96296296296296,0.522875816993464,0,0,21.437908496732,2.57404122406913,"1","MIC_W_067"
"MIC_W_068",26.0926288323549,1.1596723925491,7.53787055156918,4.2038124229905,2.60926288323549,0,0,34.3552946292672,5.65340291367689,1.01471334348047,0.289918098137276,0.289918098137276,41.6032470826991,2.40137167571747,"2","MIC_W_068"
"MIC_W_069",6.94444444444444,0.280583613916947,0,4.84006734006734,0,0,0,9.18911335578002,2.45510662177329,0.420875420875421,0,0,12.0650953984287,3.09518198970129,"1","MIC_W_069"
"MIC_W_072",2.9911146300695,0.0439869798539632,0.0879739597079265,0.395882818685669,0.175947919415853,0,0,2.19934899269816,1.27562241576493,0.219934899269816,0,0,3.69490630773291,2.92397620785953,"1","MIC_W_072"
"MIC_W_076",1.440329218107,0.329218106995885,0.205761316872428,0.123456790123457,1.27572016460905,0,0,2.88065843621399,0.37037037037037,0.0411522633744856,0.0411522633744856,0.0411522633744856,3.37448559670782,2.40506162376964,"1","MIC_W_076"
"MIC_W_077",0.981704596162427,0,0.0446229361892012,0,17.6260597947345,0,0,16.9567157518965,1.69567157518965,0,0,0,18.6523873270861,2.37577191225245,"1","MIC_W_077"
"MIC_W_078",0.303168106715174,0,0.101056035571725,0,27.891465817796,0,0,25.2640088929311,2.93062503158001,0.101056035571725,0,0,28.2956899600829,2.98088468013739,"1","MIC_W_078"
"MIC_W_086",2.77122420701794,0.449387709246152,0.299591806164101,0,0.524285660787177,0,0,2.39673444931281,1.04857132157435,0.449387709246152,0,0.0748979515410254,4.04448938321537,2.5225918374677,"1","MIC_W_086"
"MIC_W_087",2.69835052443748,1.21860991426209,0.870435653044349,35.6878617748183,6.44122383252818,0,0,35.9489924707316,9.05253079166123,1.65382774078426,0.261130695913305,0,46.9164816990904,2.37577528639077,"1","MIC_W_087"
