"","PP_total_conc","PE_total_conc","PS_total_conc","Others_total_conc","Unknown_pm_total_conc","Unknown_shape_total_conc","fragments_total_conc","filaments_total_conc","pellets_total_conc","films_total_conc","foams_total_conc","others_shape_total_conc","SC3_total_conc","SC4_total_conc","SC5_total_conc","SC6_total_conc","SC7_total_conc","Loc_total_conc","clust","Unique.Sample.Identifier"
"MAC_W_081",0.0430663221360896,0.0430663221360896,0,0,0,0,0,0,0,0.0861326442721791,0,0,0,0.0430663221360896,0.0430663221360896,0,0,0.0861326442721791,"1","MAC_W_081"
"MAC_W_082",0,0.0277638958298628,0,0,0,0,0,0,0,0.0277638958298628,0,0,0,0.0277638958298628,0,0,0,0.0277638958298628,"1","MAC_W_082"
"MAC_W_090",0.0276395798783859,0.0552791597567717,0.0276395798783859,0,0,0,0,0,0,0.0552791597567717,0.0276395798783859,0.0276395798783859,0,0,0.0276395798783859,0.0829187396351575,0,0.110558319513543,"1","MAC_W_090"
"MAC_W_091",0.0511561285041948,0,0,0,0,0,0,0,0,0.0511561285041948,0,0,0,0,0,0.0511561285041948,0,0.0511561285041948,"1","MAC_W_091"
"MAC_W_092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_092"
"MAC_W_100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_100"
"MAC_W_101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_101"
"MAC_W_108",0.145910848471584,0.048636949490528,0,0,0.389095595924224,0,0.145910848471584,0,0.389095595924224,0.048636949490528,0,0,0.389095595924224,0.048636949490528,0.048636949490528,0.048636949490528,0.048636949490528,0.583643393886335,"1","MAC_W_108"
"MAC_W_109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_109"
"MAC_W_116",0.0715691536947576,0.0357845768473788,0,0,0,0,0,0.0357845768473788,0,0.0715691536947576,0,0,0,0.0357845768473788,0.0357845768473788,0.0357845768473788,0,0.107353730542136,"1","MAC_W_116"
"MAC_W_117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_117"
"MAC_W_118",0.0825797927247203,0,0,0,0,0,0,0,0,0.0825797927247203,0,0,0,0,0.0825797927247203,0,0,0.0825797927247203,"1","MAC_W_118"
"MAC_W_119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_119"
"MAC_W_120",0,0,0,0,0.054048941316362,0,0,0,0.054048941316362,0,0,0,0.054048941316362,0,0,0,0,0.054048941316362,"1","MAC_W_120"
"MAC_W_121",0,0,0,0,0.0279735929282757,0,0,0,0.0279735929282757,0,0,0,0.0279735929282757,0,0,0,0,0.0279735929282757,"1","MAC_W_121"
"MAC_W_122",0,0.0322341488572994,0,0,0,0,0,0,0,0.0322341488572994,0,0,0,0,0.0322341488572994,0,0,0.0322341488572994,"1","MAC_W_122"
"MAC_W_123",0.120289175177126,0.168404845247976,0,0.120289175177126,1.78027979262146,0,0.216520515318826,0.0481156700708503,1.78027979262146,0.144347010212551,0,0,1.78027979262146,0.0962313401417006,0.216520515318826,0.0481156700708503,0.0481156700708503,2.18926298822369,"1","MAC_W_123"
"MAC_W_129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","MAC_W_129"
"MAC_W_141",0,0,0,0,0.108825769942322,0,0,0,0.108825769942322,0,0,0,0.108825769942322,0,0,0,0,0.108825769942322,"1","MAC_W_141"
